title,print_issn,e_issn,field,ajg_2024,on_wbs60
Academy of Management Journal,0001-4273,1948-0989,ETHICS-CSR-MAN,4*,1
Academy of Management Review,0363-7425,1930-3807,ETHICS-CSR-MAN,4*,1
"Accounting, Organizations and Society",0361-3682,1873-6289,ACCOUNT,4*,1
The Accounting Review,0001-4826,1558-7967,ACCOUNT,4*,1
Administrative Science Quarterly,0001-8392,1930-3815,ETHICS-CSR-MAN,4*,1
American Economic Review,0002-8282,1944-7981,ECON,4*,1
American Journal of Sociology,0002-9602,1537-5390,SOC SCI,4*,1
American Sociological Review,0003-1224,1939-8271,SOC SCI,4*,1
Contemporary Accounting Research,0823-9150,1911-3846,ACCOUNT,4,1
Econometrica,0012-9682,1468-0262,ECON,4*,1
Entrepreneurship Theory and Practice,1042-2587,1540-6520,ENT-SBM,4*,1
Human Relations,0018-7267,1741-282X,ORG STUD,4,1
Human Resource Management,0090-4848,1099-050X,,,1
Information Systems Research,1047-7047,1526-5536,INFO MAN,4*,1
Journal of the Academy of Marketing Science,0092-0703,1552-7824,MKT,4*,1
Journal of Accounting and Economics,0165-4101,1879-1980,ACCOUNT,4*,1
Journal of Accounting Research,0021-8456,1475-679X,ACCOUNT,4*,1
Journal of Applied Psychology,0021-9010,1939-1854,PSYCH (WOP-OB),4*,1
Journal of Association of Information Systems,1536-9323,1536-9323,,,1
Journal of Business Venturing,0883-9026,1873-2003,ENT-SBM,4*,1
Journal of Consumer Psychology,1057-7408,1532-7663,MKT,4*,1
Journal of Consumer Research,0093-5301,1537-5277,MKT,4*,1
Journal of Econometrics,0304-4076,1872-6895,ECON,4,1
Journal of Experimental Psychology: General,0096-3445,1939-2222,PSYCH (GENERAL),4,1
Journal of Finance,0022-1082,1540-6261,FINANCE,4*,1
Journal of Financial Economics,0304-405X,1879-2774,FINANCE,4*,1
Journal of Financial and Quantitative Analysis,0022-1090,1756-6916,FINANCE,4,1
Journal of International Business Studies,0047-2506,1478-6990,IB&AREA,4*,1
Journal of Management,0149-2063,1557-1211,ETHICS-CSR-MAN,4*,1
Journal of Management Information Systems,0742-1222,1557-928X,INFO MAN,4,1
Journal of Management Studies,0022-2380,1467-6486,ETHICS-CSR-MAN,4,1
Journal of Marketing,0022-2429,1547-7185,MKT,4*,1
Journal of Marketing Research,0022-2437,1547-7193,MKT,4*,1
Journal of Operations Management,0272-6963,1873-1317,OPS&TECH,4*,1
Journal of Organizational Behavior,0894-3796,1099-1379,PSYCH (WOP-OB),4,1
Journal of Personality and Social Psychology,0022-3514,1939-1315,PSYCH (GENERAL),4,1
Journal of Political Economy,0022-3808,1537-534X,ECON,4*,1
Journal of Public Administration Research and Theory,1053-1858,1477-9803,PUB SEC,4,1
Management Science,0025-1909,1526-5501,OR&MANSCI,4*,1
Marketing Science,0732-2399,1526-548X,MKT,4*,1
MIS Quarterly,0276-7783,2162-9730,,,1
Nature,0028-0836,1476-4687,,,1
Nature Human Behaviour,2397-3374,2397-3374,PSYCH (GENERAL),4,1
Operations Research,0030-364X,1526-5463,OR&MANSCI,4*,1
Organizational Behavior & Human Decision Processes,0749-5978,1095-9920,PSYCH (WOP-OB),4,1
Organization Science,1047-7039,1526-5455,ORG STUD,4*,1
Organization Studies,0170-8406,1741-3044,ORG STUD,4,1
Proceedings of the National Academy of Sciences of the United States of America,0027-8424,1091-6490,,,1
Production and Operations Management,1059-1478,1937-5956,OPS&TECH,4,1
Psychological Review,0033-295X,1939-1471,PSYCH (GENERAL),4,1
Psychological Science,0956-7976,1467-9280,PSYCH (GENERAL),4*,1
Quarterly Journal of Economics,0033-5533,1531-4650,ECON,4*,1
Research Policy,0048-7333,1873-7625,INNOV,4*,1
Review of Accounting Studies,1380-6653,1573-7136,ACCOUNT,4,1
Review of Economic Studies,0034-6527,1467-937X,ECON,4*,1
Review of Finance,1572-3097,1573-692X,FINANCE,4,1
Review of Financial Studies,0893-9454,1465-7368,FINANCE,4*,1
Science,0036-8075,1095-9203,,,1
Strategic Entrepreneurship Journal,1932-4391,1932-443X,ENT-SBM,4,1
Strategic Management Journal,0143-2095,1097-0266,STRAT,4*,1
